rowid,Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,manual_tags1,manual_tags2,manual_tags3,manual_tags4,manual_tags5,manual_tags6,manual_tags7,manual_tags8,manual_tags9,manual_tags10,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,OpenDataBadge,OpenMaterialsBadge,PreregisteredBadge,ErratumTag,effective_year,PROpenData,PRPreregistered,PROpenMaterials,DEPreregistered,TCPreregistered,PreregisteredPlus,study_id
995,LRVYCC2X,journalArticle,2018,"Armstrong, Andrew; Bulkes, Nyssa; Tanner, Darren",QUANTIFICATIONAL CUES MODULATE THE PROCESSING OF ENGLISH SUBJECT-VERB AGREEMENT BY NATIVE CHINESE SPEAKERS: AN ERP STUDY,Studies in Second Language Acquisition,NA,"0272-2631, 1470-1545",10.1017/S0272263118000013,http://www.cambridge.org/core/journals/studies-in-second-language-acquisition/article/quantificational-cues-modulate-the-processing-of-english-subjectverb-agreement-by-native-chinese-speakers/9347CFC07BF9549EC637D0CF976C008C,"Numerous studies have demonstrated that native Mandarin speakers have pervasive difficulties processing L2 English agreement morphology. However, less is known about the lexical and morphological cues that may modulate Mandarin speakers’ sensitivity to English number agreement. To investigate this, we examined subject-verb agreement processing in English by L1 Mandarin participants using event-related brain potentials (ERPs) and focused on the use of quantificational cues to noun number and their interaction with agreement morphology on the verb. Previous work in English monolinguals has shown that agreement violations elicited larger P600s when preceded by a plurally quantified subject noun phrase (NP) compared to an unquantified NP. In the present study, Mandarin speakers were tested on the same quantified and unquantified sentences (e.g., Most/The cookies taste/*tastes…) as in the prior work. Like the L1 English speakers, ERPs time-locked to the verb showed a reliable P600 in response to agreement violations. However, the P600 in Mandarin speakers was larger for ungrammatical verbs with unquantified subjects, a contrast with English monolinguals. First, these results demonstrate that L2 agreement violations can elicit qualitatively similar neural responses in L1 Mandarin speakers as in English monolinguals (P600 effects), a finding that is to our knowledge novel. Second, quantification modulated the P600 in the L2 speakers in a qualitatively different way than in natives. Overall, these findings suggest stronger reliance on lexical versus morphological cues to number in Mandarin speakers, and that this impacts anticipation of subsequent grammatical features.",2018-12,2020-01-28T06:01:16Z,2020-01-28T06:02:34Z,2020-01-28T06:01:16Z,731-754,NA,4,40,NA,NA,QUANTIFICATIONAL CUES MODULATE THE PROCESSING OF ENGLISH SUBJECT-VERB AGREEMENT BY NATIVE CHINESE SPEAKERS,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,Cambridge Core,NA,NA,NA,C:\Users\Steve\Zotero\storage\CWQ7G3W7\Armstrong et al. - 2018 - QUANTIFICATIONAL CUES MODULATE THE PROCESSING OF E.pdf; C:\Users\Steve\Zotero\storage\JMX4MKDG\9347CFC07BF9549EC637D0CF976C008C.html,NA,OSBadgeOpenMaterials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000995
996,LRZKYREP,journalArticle,2019,"Seghezzi, Silvia; Giannini, Gianluigi; Zapparoli, Laura",Neurofunctional correlates of body-ownership and sense of agency: A meta-analytical account of self-consciousness,Cortex,NA,0010-9452,10.1016/j.cortex.2019.08.018,http://www.sciencedirect.com/science/article/pii/S0010945219303077,"Self-consciousness consists of several dissociable experiences, including the sense of ownership of one's body and the sense of agency over one's action consequences. The relationship between body-ownership and the sense of agency has been described by different neurocognitive models, each providing specific neurofunctional predictions. According to an “additive” model, the sense of agency entails body-ownership, while an alternative “independence” hypothesis suggests that they represent two qualitatively different processes, underpinned by distinct brain systems. We propose a third “interactive” model, arguing the interdependence between body-ownership and the sense of agency: these constructs might represent different experiences with specific and exclusive brain correlates, but they also could partly overlap at the neurofunctional level. Here we test these three neurocognitive models by reviewing the available neurofunctional literature of body-ownership and the sense of agency, with a quantitative meta-analytical approach that allowed us to compare their neural correlates statistically. We identified (i) a body-ownership-specific network including the left inferior parietal lobule and the left extra-striate body area, (ii) a sense-of-agency-specific network including the left SMA, the left posterior insula, the right postcentral gyrus, and the right superior temporal lobe and (iii) a shared network in the left middle insula. These results provide support for the interactive neurocognitive model of body-ownership and the sense of agency. Body-ownership involves a sensory network in which multisensory inputs are integrated to be self-attributed. On the other hand, the sense of agency is specifically associated with premotor and sensory-motor areas, typically involved in generating motor predictions and in action monitoring. Finally, body-ownership and the sense of agency interact at the level of the left middle insula, a high-level multisensory hub engaged in body and action awareness in general.",2019-12-01,2020-01-30T08:10:37Z,2020-01-30T12:01:54Z,2020-01-30T08:10:37Z,169-178,NA,NA,121,NA,Cortex,Neurofunctional correlates of body-ownership and sense of agency,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,ScienceDirect,NA,NA,NA,C:\Users\Steve\Zotero\storage\SP6BNGKP\Seghezzi et al. - 2019 - Neurofunctional correlates of body-ownership and s.pdf; C:\Users\Steve\Zotero\storage\7HL8XVQM\S0010945219303077.html,NA,OSBadgeOpenData,NA,NA,NA,NA,NA,NA,NA,NA,NA,Meta-analysis; Motor control; Body-ownership; Self-awareness; Sense of agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000996
997,LSQ96UYF,journalArticle,2017,"O’Brien, Ed; Roney, Ellen",Worth the Wait? Leisure Can Be Just as Enjoyable With Work Left Undone,Psychological Science,NA,0956-7976,10.1177/0956797617701749,https://doi.org/10.1177/0956797617701749,"Four studies reveal that (a) people hold a robust intuition about the order of work and leisure and that (b) this intuition is sometimes mistaken. People prefer saving leisure for last, believing they would otherwise be distracted by looming work (Study 1). In controlled experiments, however, although subjects thought their enjoyment would be spoiled when they played a game before rather than after a laborious problem-solving task, got a massage before rather than after midterms, and consumed snacks and watched videos before rather than after a stressful performance, in reality these experiences were similarly enjoyable regardless of order (Studies 2 through 4). This misprediction was indeed mediated by anticipated distraction and was therefore attenuated after people were reminded of the absorbing nature of enjoyable activities (Studies 3 and 4). These studies highlight the power of hedonic experience within the moment of consumption, which has implications for managing (or mismanaging) everyday work and leisure. People might postpone leisure and overwork for future rewards that could be just as pleasurable in the present.",2017-07-01,2018-03-20T00:25:09Z,2018-03-20T00:25:22Z,2018-03-20T00:25:09Z,1000-1015,NA,7,28,NA,Psychol Sci,Worth the Wait?,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,SAGE Journals,NA,NA,NA,C:\Users\Steve\Zotero\storage\2K3H5973\O’Brien and Roney - 2017 - Worth the Wait Leisure Can Be Just as Enjoyable W.pdf,NA,OSBadgeOpenData,OSBadgeOpenMaterials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000997
998,LSVMZB2U,journalArticle,2018,"McCabe, Connor J.; Kim, Dale S.; King, Kevin M.",Improving Present Practices in the Visual Display of Interactions,Advances in Methods and Practices in Psychological Science,NA,2515-2459,10.1177/2515245917746792,https://doi.org/10.1177/2515245917746792,"Interaction plots are used frequently in psychology research to make inferences about moderation hypotheses. A common method of analyzing and displaying interactions is to create simple-slopes or marginal-effects plots using standard software programs. However, these plots omit features that are essential to both graphic integrity and statistical inference. For example, they often do not display all quantities of interest, omit information about uncertainty, or do not show the observed data underlying an interaction, and failure to include these features undermines the strength of the inferences that may be drawn from such displays. Here, we review the strengths and limitations of present practices in analyzing and visualizing interaction effects in psychology. We provide simulated examples of the conditions under which visual displays may lead to inappropriate inferences and introduce open-source software that provides optimized utilities for analyzing and visualizing interactions.",2018-06-01,2020-01-14T06:51:12Z,2020-01-14T06:51:30Z,2020-01-14T06:51:12Z,147-165,NA,2,1,NA,Advances in Methods and Practices in Psychological Science,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,SAGE Journals,NA,NA,NA,C:\Users\Steve\Zotero\storage\25QLLC2L\McCabe et al. - 2018 - Improving Present Practices in the Visual Display .pdf,NA,OSBadgeOpenData,OSBadgeOpenMaterials,NA,NA,NA,NA,NA,NA,NA,NA,interaction; data visualization; open data; open materials; moderation; regions of significance; simple slopes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000998
999,LT7MN3S5,journalArticle,2019,"Fehily, Brooke; Bartlett, Carole A.; Lydiard, Stephen; Archer, Michael; Milbourn, Hannah; Majimbi, Maimuna; Hemmi, Jan M.; Dunlop, Sarah A.; Yates, Nathanael J.; Fitzgerald, Melinda",Differential responses to increasing numbers of mild traumatic brain injury in a rodent closed-head injury model,Journal of Neurochemistry,NA,1471-4159,10.1111/jnc.14673,http://onlinelibrary.wiley.com/doi/abs/10.1111/jnc.14673,"Following mild traumatic brain injury (mTBI), further mild impacts can exacerbate negative outcomes. To compare chronic damage and deficits following increasing numbers of repeated mTBIs, a closed-head weight-drop model of repeated mTBI was used to deliver 1, 2 or 3 mTBIs to adult female rats at 24 h intervals. Outcomes were assessed at 3 months following the first mTBI. No gross motor, sensory or reflex deficits were identified (p > 0.05), consistent with current literature. Cognitive function assessed using a Morris water maze revealed chronic memory deficits following 1 and 2, but not 3 mTBI compared to shams (p ≤ 0.05). Oxidative damage to DNA was assessed immunohistochemically in the dentate hilus of the hippocampus and splenium of the corpus callosum; no changes were observed. IBA1-positive microglia were increased in size in the cortex following 1 mTBI and in the corpus callosum following 2 mTBI compared to shams (p ≤ 0.05); no changes were observed in the dentate hilus. Glial fibrillary acidic protein (GFAP)-positive astrocyte immunoreactivity was assessed in all three brain regions and no chronic changes were observed. Integrity of myelin ultrastructure in the corpus callosum was assessed using transmission electron microscopy. G ratio was decreased following 2 mTBIs compared to shams (p ≤ 0.05) at post hoc level only. The changing patterns of damage and deficits following increasing numbers of mTBI may reflect dynamic responses to small numbers of mTBIs or a conditioning effect such that increasing numbers of mTBIs do not necessarily result in worsening pathology. Open science badges This article has received a badge for *Open Materials* because it provided all relevant information to reproduce the study in the manuscript. The complete Open Science Disclosure form for this article can be found at the end of the article. More information about the Open Practices badges can be found at https://cos.io/our-services/open-science-badges/. Cover Image for this issue: doi: 10.1111/jnc.14508.",2019,2020-02-04T04:40:49Z,2020-02-04T04:41:15Z,2020-02-04T04:40:49Z,660-678,NA,5,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,© 2019 International Society for Neurochemistry,NA,NA,NA,Wiley Online Library,NA,NA,NA,C:\Users\Steve\Zotero\storage\Z2C4NFPU\Fehily et al. - 2019 - Differential responses to increasing numbers of mi.pdf; C:\Users\Steve\Zotero\storage\4ZHTVTTM\jnc.html,NA,OSBadgeOpenMaterials,NA,NA,NA,NA,NA,NA,NA,NA,NA,oxidative stress; microglia; functional deficits; myelin abnormalities; repeated mild traumatic brain injury; transmission electron microscopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000999
1000,LTFTPC3Z,journalArticle,2015,"Wilson, John Paul; Rule, Nicholas O.",Facial Trustworthiness Predicts Extreme Criminal-Sentencing Outcomes,Psychological Science,NA,0956-7976,10.1177/0956797615590992,https://doi.org/10.1177/0956797615590992,"Untrustworthy faces incur negative judgments across numerous domains. Existing work in this area has focused on situations in which the target’s trustworthiness is relevant to the judgment (e.g., criminal verdicts and economic games). Yet in the present studies, we found that people also overgeneralized trustworthiness in criminal-sentencing decisions when trustworthiness should not be judicially relevant, and they did so even for the most extreme sentencing decision: condemning someone to death. In Study 1, we found that perceptions of untrustworthiness predicted death sentences (vs. life sentences) for convicted murderers in Florida (N = 742). Moreover, in Study 2, we found that the link between trustworthiness and the death sentence occurred even when participants viewed innocent people who had been exonerated after originally being sentenced to death. These results highlight the power of facial appearance to prejudice perceivers and affect life outcomes even to the point of execution, which suggests an alarming bias in the criminal-justice system.",2015-08-01,2018-03-20T04:42:33Z,2018-03-20T04:42:44Z,2018-03-20T04:42:33Z,1325-1331,NA,8,26,NA,Psychol Sci,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,SAGE Journals,NA,NA,NA,C:\Users\Steve\Zotero\storage\SI2YIL2W\Wilson and Rule - 2015 - Facial Trustworthiness Predicts Extreme Criminal-S.pdf,NA,OSBadgeOpenData,OSBadgeOpenMaterials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,2015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a001000
1001,LUKTINHL,journalArticle,2014,"Vermeulen, Ivar; Batenburg, Anika; Beukeboom, Camiel J.; Smits, Tim","Breakthrough or One-Hit Wonder?: Three Attempts to Replicate Single-Exposure Musical Conditioning Effects on Choice Behavior (Gorn, 1982)",Social Psychology,NA,"1864-9335, 2151-2590",10.1027/1864-9335/a000182,http://econtent.hogrefe.com/doi/abs/10.1027/1864-9335/a000182,NA,2014-05,2018-04-06T05:30:29Z,2018-04-06T05:30:53Z,2018-04-06T05:30:29Z,179-186,NA,3,45,NA,NA,Breakthrough or One-Hit Wonder?,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,CrossRef,NA,NA,NA,C:\Users\Steve\Zotero\storage\D5XGTX2H\Vermeulen et al. - 2014 - Breakthrough or One-Hit Wonder Three Attempts to.pdf,NA,OSBadgeOpenData,OSBadgePreregistered,OSBadgeOpenMaterials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,2014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a001001
1002,LW3ILBE9,journalArticle,2020,"Moher, Jeff",Distracting Objects Induce Early Quitting in Visual Search,Psychological Science,NA,0956-7976,10.1177/0956797619886809,https://doi.org/10.1177/0956797619886809,"Task-irrelevant objects can sometimes capture attention and increase the time it takes an observer to find a target. However, less is known about how these distractors impact visual search strategies. Here, I found that salient distractors reduced rather than increased response times on target-absent trials (Experiment 1; N = 200). Combined with higher error rates on target-present trials, these results indicate that distractors can induce observers to quit search earlier than they otherwise would. These effects were replicated when target prevalence was low (Experiment 2; N = 200) and with different stimuli that elicited shallower search slopes (Experiment 3; N = 75). These results demonstrate that salient distractors can produce at least two consequences in visual search: They can capture attention, and they can cause observers to quit searching early. This novel finding has implications both for understanding visual attention and for examining distraction in real-world domains where targets are often absent, such as medical image screening.",2020-01-01,2020-01-29T06:53:15Z,2020-01-29T06:53:27Z,2020-01-29T06:53:15Z,31-42,NA,1,31,NA,Psychol Sci,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,SAGE Journals,NA,NA,NA,C:\Users\Steve\Zotero\storage\NMRUTWI9\Moher - 2020 - Distracting Objects Induce Early Quitting in Visua.pdf,NA,OSBadgeOpenData,NA,NA,NA,NA,NA,NA,NA,NA,NA,attention; open data; visual search; visual attention,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a001002
1003,LWWYNQIU,journalArticle,2018,"Eskreis-Winkler, Lauren; Fishbach, Ayelet; Duckworth, Angela L.",Dear Abby: Should I Give Advice or Receive It?,Psychological Science,NA,"0956-7976, 1467-9280",10.1177/0956797618795472,http://journals.sagepub.com/doi/10.1177/0956797618795472,"Typically, individuals struggling with goal achievement seek advice. However, in the present investigation (N = 2,274), struggling individuals were more motivated by giving advice than receiving it. In a randomized, controlled, doubleblind field experiment, middle-school students who gave motivational advice to younger students spent more time on homework over the following month than students who received motivational advice from expert teachers (Experiment 1). This phenomenon was replicated across self-regulatory domains: Strugglers who gave advice, compared with those who received expert advice, were more motivated to save money, control their tempers, lose weight, and seek employment (Experiments 2 and 3). Nevertheless, across domains, people erroneously predicted the opposite, expecting themselves and others to be less motivated by giving advice than receiving it (Experiments 2 and 3). Why are people blind to the motivational power of giving? Giving advice motivated givers by raising their confidence—a reality that predictors fail to anticipate (Experiment 4).",2018-11,2019-04-06T18:34:40Z,2019-04-06T18:35:05Z,2019-04-06T18:34:40Z,1797-1806,NA,11,29,NA,NA,Dear Abby,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,Crossref,NA,NA,NA,C:\Users\Steve\Zotero\storage\2RA6UEB6\Eskreis-Winkler e.a. - 2018 - Dear Abby Should I Give Advice or Receive It.pdf,NA,OSBadgeOpenData,OSBadgeOpenMaterials,OSBadgePreregisteredPlus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,a001003
1004,LX45MLW4,journalArticle,2019,"Soto, Christopher J.",How Replicable Are Links Between Personality Traits and Consequential Life Outcomes? The Life Outcomes of Personality Replication Project,Psychological Science,NA,0956-7976,10.1177/0956797619831612,https://doi.org/10.1177/0956797619831612,"The Big Five personality traits have been linked to dozens of life outcomes. However, metascientific research has raised questions about the replicability of behavioral science. The Life Outcomes of Personality Replication (LOOPR) Project was therefore conducted to estimate the replicability of the personality-outcome literature. Specifically, I conducted preregistered, high-powered (median N = 1,504) replications of 78 previously published trait–outcome associations. Overall, 87% of the replication attempts were statistically significant in the expected direction. The replication effects were typically 77% as strong as the corresponding original effects, which represents a significant decline in effect size. The replicability of individual effects was predicted by the effect size and design of the original study, as well as the sample size and statistical power of the replication. These results indicate that the personality-outcome literature provides a reasonably accurate map of trait–outcome associations but also that it stands to benefit from efforts to improve replicability.",2019-05-01,2020-01-29T05:49:46Z,2020-01-30T13:18:13Z,2020-01-29T05:49:46Z,711-727,NA,5,30,NA,Psychol Sci,How Replicable Are Links Between Personality Traits and Consequential Life Outcomes?,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,SAGE Journals,NA,NA,NA,C:\Users\Steve\Zotero\storage\MSRRAZSQ\Soto - 2019 - How Replicable Are Links Between Personality Trait.pdf,NA,OSBadgeOpenData,OSBadgePreregistered,OSBadgeOpenMaterials,OSBadgePreregisteredTC,NA,NA,NA,NA,NA,NA,replication; Big Five; metascience; open data; open materials; preregistered; life outcomes; personality traits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,a001004
1005,LXJTGZ3S,journalArticle,2019,"Martín-Arévalo, E.; Lupiáñez, J.; Narganes-Pineda, C.; Marino, G.; Colás, I.; Chica, Ana B.",The causal role of the left parietal lobe in facilitation and inhibition of return,Cortex,NA,0010-9452,10.1016/j.cortex.2019.04.025,http://www.sciencedirect.com/science/article/pii/S0010945219302035,"Following non-informative peripheral cues, responses are facilitated at the cued compared to the uncued location at short cue-target intervals. This effect reverses at longer intervals, giving rise to Inhibition of Return (IOR). The integration-segregation hypothesis (Lupiáñez, 2010) suggests that peripheral cues always produce an onset-detection cost regardless the behavioral cueing effect that is measured – either facilitation or IOR. In the present study, we used transcranial magnetic stimulation (TMS) to investigate the causal contribution of this detection cost to performance. We used a cueing paradigm with a target discrimination task that was preceded by a non-informative peripheral cue. The presence-absence of a central intervening event was manipulated. Online TMS to the left superior parietal lobe (compared to an active vertex stimulation) lead to an overall more positive effect (faster responses for cued as compared to uncued trials), by putatively impairing the detection cost contribution to performance. The data revealed a strong association between overall RT and the TMS effect, and also between overall RT and the integrity of the first branch of the left superior longitudinal fascicule. These results have critical implications not only for the open debate about the mechanism/s underlying spatial orienting effects, but also for the growing literature demonstrating that white matter connectivity is crucial for explaining inter-individual behavioral variability.",2019-08-01,2020-01-30T07:18:08Z,2020-01-30T07:18:27Z,2020-01-30T07:18:08Z,311-322,NA,NA,117,NA,Cortex,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,ScienceDirect,NA,NA,NA,C:\Users\Steve\Zotero\storage\YCERZTG7\Martín-Arévalo et al. - 2019 - The causal role of the left parietal lobe in facil.pdf; C:\Users\Steve\Zotero\storage\IVU7VCYY\S0010945219302035.html,NA,OSBadgeOpenData,OSBadgeOpenMaterials,NA,NA,NA,NA,NA,NA,NA,NA,Facilitation; Inhibition of return (IOR); Superior longitudinal fasciculus (SLF); Superior parietal lobe (SPL); Transcranial magnetic stimulation (TMS),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a001005
1006,LXRTG52P,journalArticle,2019,"Gurung, Regan A. R.; Stoa, Rosalyn; Nelson, Alese; Schultz, Devan",The influence of T-shirt graphics on perceptions and behavioral intentions,The Journal of Social Psychology,NA,0022-4545,10.1080/00224545.2018.1491471,https://doi.org/10.1080/00224545.2018.1491471,"Do graphics on clothing drive perceptions? We used a between group design to test if athletic, academic, or suggestive graphics on clothing differentially influence perceptions and behavioral intentions. In study 1, participants (N = 199) rated five female t-shirt models, and in study 2 and 3, participants rated five male t-shirt models (N = 120) or university students (N = 50). Analyses of variance controlling for sex (ANCOVA) showed participants were least likely to want to interact with models/students wearing sexually suggestive graphics: Study 1, F(3,165) = 30.263, p < .001, ηp 2 = .30, power = 1.00; Study 2, F (3,119) = 11.630, p < .000, ηp 2 = .234, and Study 3, F(1, 42) = 12.578, p < .000. Participants did not rate models in the academic and athletic graphic shirts differently from models with plain white shirts. Results support the concept that people form different perceptions based upon the clothing a person wears, changing behavioral intentions. Neither sex role ideation (Study 1) or sexism (Study 2) were significant covariates of perceptions and intentions.",2019-05-04,2020-02-04T06:33:34Z,2020-02-04T06:34:12Z,2020-02-04T06:33:34Z,328-339,NA,3,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taylor and Francis+NEJM,NA,PMID: 30015592,NA,C:\Users\Steve\Zotero\storage\Y4II4GIX\Gurung et al. - 2019 - The influence of T-shirt graphics on perceptions a.pdf; C:\Users\Steve\Zotero\storage\HBAJMVUN\00224545.2018.html,NA,OSBadgeOpenData,OSBadgeOpenMaterials,NA,NA,NA,NA,NA,NA,NA,NA,impression formation; Correction; Clothing; perceptions; T-shirt graphics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a001006
1007,LYFHJ6H6,journalArticle,2017,"Foster, Joshua J.; Sutterer, David W.; Serences, John T.; Vogel, Edward K.; Awh, Edward",Alpha-Band Oscillations Enable Spatially and Temporally Resolved Tracking of Covert Spatial Attention,Psychological Science,NA,0956-7976,10.1177/0956797617699167,https://doi.org/10.1177/0956797617699167,"Covert spatial attention is essential for humans’ ability to direct limited processing resources to the relevant aspects of visual scenes. A growing body of evidence suggests that rhythmic neural activity in the alpha frequency band (8–12 Hz) tracks the spatial locus of covert attention, which suggests that alpha activity is integral to spatial attention. However, extant work has not provided a compelling test of another key prediction: that alpha activity tracks the temporal dynamics of covert spatial orienting. In the current study, we examined the time course of spatially specific alpha activity after central cues and during visual search. Critically, the time course of this activity tracked trial-by-trial variations in orienting latency during visual search. These findings provide important new evidence for the link between rhythmic brain activity and covert spatial attention, and they highlight a powerful approach for tracking the spatial and temporal dynamics of this core cognitive process.",2017-07-01,2018-03-20T00:21:57Z,2018-03-20T00:22:19Z,2018-03-20T00:21:57Z,929-941,NA,7,28,NA,Psychol Sci,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,SAGE Journals,NA,NA,NA,C:\Users\Steve\Zotero\storage\XTLERYLT\Foster et al. - 2017 - Alpha-Band Oscillations Enable Spatially and Tempo.pdf,NA,OSBadgeOpenData,OSBadgeOpenMaterials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a001007
